"series_name","series_number","book_title","author","grade_level","question","correct_answer","wrong_answer_1","wrong_answer_2","wrong_answer_3"
"Thoroughbred","3","Wonder's First Race","Joanna Campbell","4-6","What does Ashleigh learn to do over the course of this book?","Handle herself around difficult people like Brad","Give up on her dreams","Avoid the racetrack entirely","Trust Brad's judgment"
"Thoroughbred","3","Wonder's First Race","Joanna Campbell","4-6","Who works alongside Ashleigh to prepare Wonder for the race?","Charlie, Wonder's trainer","Brad Townsend","Clay Townsend","Linda March"
"Thoroughbred","4","Wonder's Victory","Joanna Campbell","4-6","What major race is Wonder being prepared for in this book?","The Breeder's Cup","The Kentucky Derby","The Preakness","A local county race"
"Thoroughbred","4","Wonder's Victory","Joanna Campbell","4-6","What happens to Wonder's regular jockey right before this big race?","They are injured and can't ride","They quit the sport","They move away","They get suspended"
"Thoroughbred","4","Wonder's Victory","Joanna Campbell","4-6","Why can't just any other jockey step in to ride Wonder?","Wonder won't perform for anyone but her regular jockey","No other jockeys are available","The rules require the same rider","Brad Townsend won't allow it"
"Thoroughbred","4","Wonder's Victory","Joanna Campbell","4-6","Who ends up riding Wonder in the big race, despite never having raced before?","Ashleigh","Charlie","Linda","Brad"
"Thoroughbred","4","Wonder's Victory","Joanna Campbell","4-6","What is at stake for Ashleigh personally in this race?","Proving she and Wonder can win when it matters most","Ownership of Wonder","Her family's home","A college scholarship"
"Thoroughbred","4","Wonder's Victory","Joanna Campbell","4-6","What is the name of the young man Ashleigh grows closer to over the course of this book?","Mike Reese","Charlie","Brad Townsend","Tor"
"Thoroughbred","4","Wonder's Victory","Joanna Campbell","4-6","What ""mystery"" does the story explore about Wonder's behavior?","Her freakish behavior right before races","Her mysterious bloodline","A secret injury she's hiding","Her refusal to eat"
"Thoroughbred","4","Wonder's Victory","Joanna Campbell","4-6","In what year of her racing career is Wonder competing in this book?","Her second year","Her first year","Her third year","Her final year"
"Thoroughbred","4","Wonder's Victory","Joanna Campbell","4-6","What does Ashleigh prove about her lifelong dream by the end of the book?","That her dream of being a jockey can come true","That she'd rather be a trainer than a jockey","That she should give up riding","That racing isn't for her"
"Thoroughbred","4","Wonder's Victory","Joanna Campbell","4-6","According to the author, what was this book originally meant to be for the series?","The final, closing book of the whole series","The launch of a spin-off series","A one-off special edition","The first book co-written with another author"
"Thoroughbred","5","Ashleigh's Dream","Joanna Campbell","4-6","What happens to Wonder near the start of this book?","She gives birth to a foal","She's sold","She retires from racing","She gets injured"
"Thoroughbred","5","Ashleigh's Dream","Joanna Campbell","4-6","What new role does Ashleigh take on?","Apprentice jockey","Head trainer","Farm manager","Veterinarian's assistant"
"Thoroughbred","5","Ashleigh's Dream","Joanna Campbell","4-6","What new character is introduced, whose mother died in a riding accident?","Samantha McLean","Cindy","Melanie","Christina"
"Thoroughbred","5","Ashleigh's Dream","Joanna Campbell","4-6","Why has Samantha's father forbidden her from riding?","He's afraid after his wife's riding accident","He thinks she's too young","He can't afford it","He wants her to focus on school"
"Thoroughbred","5","Ashleigh's Dream","Joanna Campbell","4-6","What filly does Ashleigh buy that Samantha helps train?","Fleet Goddess","Wonder's Champion","Townsend Prince","Storm"
"Thoroughbred","5","Ashleigh's Dream","Joanna Campbell","4-6","What stops Ashleigh from continuing to train the new filly herself?","She's injured","She loses interest","She moves away","Her parents forbid it"
"Thoroughbred","5","Ashleigh's Dream","Joanna Campbell","4-6","What does Samantha do while her father is away, defying his rule?","Secretly rides and trains the filly","Sells the horse","Runs away from home","Enters the horse in a race without permission"
"Thoroughbred","5","Ashleigh's Dream","Joanna Campbell","4-6","How does Samantha's father find out what she's been doing?","He overhears grooms at Townsend Acres talking","She tells him herself right away","He sees a newspaper article","Ashleigh tells him"
"Thoroughbred","5","Ashleigh's Dream","Joanna Campbell","4-6","What does Wonder give birth to at the start of this book?","A chestnut colt named Wonder's Pride","A gray filly named Sierra","Twin foals","A foal that doesn't survive"
"Thoroughbred","5","Ashleigh's Dream","Joanna Campbell","4-6","Whose father does Samantha live with at Townsend Acres?","Ian McLean","Charlie Burke","Clay Townsend","Mike Reese"
"Thoroughbred","5","Ashleigh's Dream","Joanna Campbell","4-6","Where does Ashleigh find and buy Fleet Goddess?","At a dispersal sale","At a racetrack","From Brad Townsend","From a breeding farm in Florida"
